Student,Pronouns,ClassTime,IntLeadership,ExpLeadership,IntElecProto,ExpElecProto,IntProg,ExpProg,IntMechCAD,ExpMechCAD,IntMechFab,ExpMechFab,Prefs,AntiPrefs,ProjTopics
UO,he/him,C,3,2,4,3,3,2,5,5,5,4,LT;YA;VE,PG;DE,reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers
UP,she/her,C,3,3,4,4,4,4,1,1,1,1,CI;SL;BL,WB,reactive kinetic sculptures;mobile robots;projectile launchers
VR,he/him,C,3,3,4,2,4,3,1,1,1,1,NO,,mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;part sorters;mechatronic penny arcade games;mobile robots;projectile launchers
VV,she/her,C,3,3,4,4,3,3,1,1,3,2,JP;VR;XR;WY;JL;YQ,,food makers;art makers;music makers;projectile launchers;music audio-visualizers
WB,he/him,C,2,3,3,3,4,3,2,3,4,4,JN;ZV;LG;YL,ND;LS,food makers;art makers;mechatronic puzzle boxes;responsive playground equipment;reactive kinetic sculptures;gantry systems
WK,she/her,C,3,2,3,4,5,5,1,1,3,3,RS;AS;RW;RL;IU;FN,,speech recognizers;mechatronic puzzle boxes;music makers;music audio-visualizers
WQ,she/her,C,3,3,2,2,2,2,5,4,5,4,FX;TZ;ES;SP;LO,RN;HQ,reactive kinetic sculptures;mobile robots;Fabrication Intesive Projects
WS,she/her,C,4,3,5,3,3,4,2,4,2,2,MM;UL,,part sorters;mobile robots;Game related stuff
XG,she/her,C,2,3,3,2,2,3,4,4,4,4,YV;HQ;IO;ZW,,music makers;responsive playground equipment;mechatronic puzzle boxes;part sorters;mechatronic penny arcade games;projectile launchers
XH,he/him,C,4,2,4,2,4,4,1,2,3,2,,,gantry systems;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;Aerial systems (UAVs)
XX,she/her,C,2,3,3,2,5,4,1,2,1,3,,RL;WK,
YL,he/him,C,3,2,4,3,4,4,2,1,3,1,SB;YX;RB,ZV;FE,food makers;speech recognizers;mechatrionic smart speaker / home assistants;mobile robots;projectile launchers;gantry systems
YV,she/her,C,4,5,4,2,3,2,4,4,4,4,XG;HQ;IO;ZW,,reactive kinetic sculptures;art makers;music makers;mobile robots
YX,he/him,C,2,4,3,1,1,3,4,2,5,4,SB;RB;YL,MP,art makers;reactive kinetic sculptures;mobile robots;projectile launchers;gantry systems
